"","Units","scenario","year","market","value"
"43","1990$/tC","cost_20constraint",2065,"globalCO2",38.7296
"44","1990$/tC","cost_20constraint",2065,"globalCO2_FUG",0
"45","1990$/tC","cost_20constraint",2065,"globalCO2_LUC",21.7854
"46","1990$/tC","cost_20constraint",2070,"globalCO2",49.5304
"47","1990$/tC","cost_20constraint",2070,"globalCO2_FUG",0
"48","1990$/tC","cost_20constraint",2070,"globalCO2_LUC",30.9565
"49","1990$/tC","cost_20constraint",2075,"globalCO2",57.0265
"50","1990$/tC","cost_20constraint",2075,"globalCO2_FUG",0
"51","1990$/tC","cost_20constraint",2075,"globalCO2_LUC",39.2058
"52","1990$/tC","cost_20constraint",2080,"globalCO2",52.8304
"53","1990$/tC","cost_20constraint",2080,"globalCO2_FUG",0
"54","1990$/tC","cost_20constraint",2080,"globalCO2_LUC",39.6228
"55","1990$/tC","cost_20constraint",2085,"globalCO2",49.9303
"56","1990$/tC","cost_20constraint",2085,"globalCO2_FUG",0
"57","1990$/tC","cost_20constraint",2085,"globalCO2_LUC",40.5684
"58","1990$/tC","cost_20constraint",2090,"globalCO2",47.8356
"59","1990$/tC","cost_20constraint",2090,"globalCO2_FUG",0
"60","1990$/tC","cost_20constraint",2090,"globalCO2_LUC",41.8561
"61","1990$/tC","cost_20constraint",2095,"globalCO2",46.6642
"62","1990$/tC","cost_20constraint",2095,"globalCO2_FUG",0
"63","1990$/tC","cost_20constraint",2095,"globalCO2_LUC",43.7477
"64","1990$/tC","cost_20constraint",2100,"globalCO2",46.4309
"65","1990$/tC","cost_20constraint",2100,"globalCO2_FUG",0
"66","1990$/tC","cost_20constraint",2100,"globalCO2_LUC",46.4309
"67","1990$/tC","cost_30constraint",1975,"globalCO2",0
"68","1990$/tC","cost_30constraint",1975,"globalCO2_FUG",0
"69","1990$/tC","cost_30constraint",1975,"globalCO2_LUC",0
"70","1990$/tC","cost_30constraint",1990,"globalCO2",0
"71","1990$/tC","cost_30constraint",1990,"globalCO2_FUG",0
"72","1990$/tC","cost_30constraint",1990,"globalCO2_LUC",0
"73","1990$/tC","cost_30constraint",2005,"globalCO2",0
"74","1990$/tC","cost_30constraint",2005,"globalCO2_FUG",0
"75","1990$/tC","cost_30constraint",2005,"globalCO2_LUC",0
"76","1990$/tC","cost_30constraint",2010,"globalCO2",0
"77","1990$/tC","cost_30constraint",2010,"globalCO2_FUG",0
"78","1990$/tC","cost_30constraint",2010,"globalCO2_LUC",0
"79","1990$/tC","cost_30constraint",2015,"globalCO2",0
"80","1990$/tC","cost_30constraint",2015,"globalCO2_FUG",0
"81","1990$/tC","cost_30constraint",2015,"globalCO2_LUC",0
"82","1990$/tC","cost_30constraint",2020,"globalCO2",0
"83","1990$/tC","cost_30constraint",2020,"globalCO2_FUG",0
"84","1990$/tC","cost_30constraint",2020,"globalCO2_LUC",0
"85","1990$/tC","cost_30constraint",2025,"globalCO2",13.2725
"86","1990$/tC","cost_30constraint",2025,"globalCO2_FUG",0
"87","1990$/tC","cost_30constraint",2025,"globalCO2_LUC",0.829529
"88","1990$/tC","cost_30constraint",2030,"globalCO2",19.677
"89","1990$/tC","cost_30constraint",2030,"globalCO2_FUG",0
"90","1990$/tC","cost_30constraint",2030,"globalCO2_LUC",2.45963
"91","1990$/tC","cost_30constraint",2035,"globalCO2",32.21
"92","1990$/tC","cost_30constraint",2035,"globalCO2_FUG",0
"93","1990$/tC","cost_30constraint",2035,"globalCO2_LUC",6.03938
"94","1990$/tC","cost_30constraint",2040,"globalCO2",33.8496
"95","1990$/tC","cost_30constraint",2040,"globalCO2_FUG",0
"96","1990$/tC","cost_30constraint",2040,"globalCO2_LUC",8.4624
"97","1990$/tC","cost_30constraint",2045,"globalCO2",44.2736
"98","1990$/tC","cost_30constraint",2045,"globalCO2_FUG",0
"99","1990$/tC","cost_30constraint",2045,"globalCO2_LUC",13.8355
"100","1990$/tC","cost_30constraint",2050,"globalCO2",46.5674
"101","1990$/tC","cost_30constraint",2050,"globalCO2_FUG",0
"102","1990$/tC","cost_30constraint",2050,"globalCO2_LUC",17.4628
"103","1990$/tC","cost_30constraint",2055,"globalCO2",58.1946
"104","1990$/tC","cost_30constraint",2055,"globalCO2_FUG",0
"105","1990$/tC","cost_30constraint",2055,"globalCO2_LUC",25.4601
"106","1990$/tC","cost_30constraint",2060,"globalCO2",68.7187
"107","1990$/tC","cost_30constraint",2060,"globalCO2_FUG",0
"108","1990$/tC","cost_30constraint",2060,"globalCO2_LUC",34.3593
"109","1990$/tC","cost_30constraint",2065,"globalCO2",83.9734
"110","1990$/tC","cost_30constraint",2065,"globalCO2_FUG",0
"111","1990$/tC","cost_30constraint",2065,"globalCO2_LUC",47.235
"112","1990$/tC","cost_30constraint",2070,"globalCO2",104.169
"113","1990$/tC","cost_30constraint",2070,"globalCO2_FUG",0
"114","1990$/tC","cost_30constraint",2070,"globalCO2_LUC",65.1058
"115","1990$/tC","cost_30constraint",2075,"globalCO2",119.564
"116","1990$/tC","cost_30constraint",2075,"globalCO2_FUG",0
"117","1990$/tC","cost_30constraint",2075,"globalCO2_LUC",82.2002
"118","1990$/tC","cost_30constraint",2080,"globalCO2",112.653
"119","1990$/tC","cost_30constraint",2080,"globalCO2_FUG",0
"120","1990$/tC","cost_30constraint",2080,"globalCO2_LUC",84.4898
"121","1990$/tC","cost_30constraint",2085,"globalCO2",111.691
"122","1990$/tC","cost_30constraint",2085,"globalCO2_FUG",0
"123","1990$/tC","cost_30constraint",2085,"globalCO2_LUC",90.7492
"124","1990$/tC","cost_30constraint",2090,"globalCO2",114.59
"125","1990$/tC","cost_30constraint",2090,"globalCO2_FUG",0
"126","1990$/tC","cost_30constraint",2090,"globalCO2_LUC",100.266
"127","1990$/tC","cost_30constraint",2095,"globalCO2",121.948
"128","1990$/tC","cost_30constraint",2095,"globalCO2_FUG",0
"129","1990$/tC","cost_30constraint",2095,"globalCO2_LUC",114.326
"130","1990$/tC","cost_30constraint",2100,"globalCO2",126.938
"131","1990$/tC","cost_30constraint",2100,"globalCO2_FUG",0
"132","1990$/tC","cost_30constraint",2100,"globalCO2_LUC",126.938
"133","1990$/tC","cost_40constraint",1975,"globalCO2",0
"134","1990$/tC","cost_40constraint",1975,"globalCO2_FUG",0
"135","1990$/tC","cost_40constraint",1975,"globalCO2_LUC",0
"136","1990$/tC","cost_40constraint",1990,"globalCO2",0
"137","1990$/tC","cost_40constraint",1990,"globalCO2_FUG",0
"138","1990$/tC","cost_40constraint",1990,"globalCO2_LUC",0
"139","1990$/tC","cost_40constraint",2005,"globalCO2",0
"140","1990$/tC","cost_40constraint",2005,"globalCO2_FUG",0
"141","1990$/tC","cost_40constraint",2005,"globalCO2_LUC",0
"142","1990$/tC","cost_40constraint",2010,"globalCO2",0
"143","1990$/tC","cost_40constraint",2010,"globalCO2_FUG",0
"144","1990$/tC","cost_40constraint",2010,"globalCO2_LUC",0
"145","1990$/tC","cost_40constraint",2015,"globalCO2",0
"146","1990$/tC","cost_40constraint",2015,"globalCO2_FUG",0
"147","1990$/tC","cost_40constraint",2015,"globalCO2_LUC",0
"148","1990$/tC","cost_40constraint",2020,"globalCO2",0
"149","1990$/tC","cost_40constraint",2020,"globalCO2_FUG",0
"150","1990$/tC","cost_40constraint",2020,"globalCO2_LUC",0
"151","1990$/tC","cost_40constraint",2025,"globalCO2",21.1801
"152","1990$/tC","cost_40constraint",2025,"globalCO2_FUG",0
"153","1990$/tC","cost_40constraint",2025,"globalCO2_LUC",1.32376
"154","1990$/tC","cost_40constraint",2030,"globalCO2",34.2219
"155","1990$/tC","cost_40constraint",2030,"globalCO2_FUG",0
"156","1990$/tC","cost_40constraint",2030,"globalCO2_LUC",4.27774
"157","1990$/tC","cost_40constraint",2035,"globalCO2",48.6857
"158","1990$/tC","cost_40constraint",2035,"globalCO2_FUG",0
"159","1990$/tC","cost_40constraint",2035,"globalCO2_LUC",9.12858
"160","1990$/tC","cost_40constraint",2040,"globalCO2",53.1983
"161","1990$/tC","cost_40constraint",2040,"globalCO2_FUG",0
"162","1990$/tC","cost_40constraint",2040,"globalCO2_LUC",13.2996
"163","1990$/tC","cost_40constraint",2045,"globalCO2",69.3576
"164","1990$/tC","cost_40constraint",2045,"globalCO2_FUG",0
"165","1990$/tC","cost_40constraint",2045,"globalCO2_LUC",21.6743
"166","1990$/tC","cost_40constraint",2050,"globalCO2",75.1191
"167","1990$/tC","cost_40constraint",2050,"globalCO2_FUG",0
"168","1990$/tC","cost_40constraint",2050,"globalCO2_LUC",28.1696
"169","1990$/tC","cost_40constraint",2055,"globalCO2",96.4628
"170","1990$/tC","cost_40constraint",2055,"globalCO2_FUG",0
"171","1990$/tC","cost_40constraint",2055,"globalCO2_LUC",42.2025
"172","1990$/tC","cost_40constraint",2060,"globalCO2",114.061
"173","1990$/tC","cost_40constraint",2060,"globalCO2_FUG",0
"174","1990$/tC","cost_40constraint",2060,"globalCO2_LUC",57.0303
"175","1990$/tC","cost_40constraint",2065,"globalCO2",134.594
"176","1990$/tC","cost_40constraint",2065,"globalCO2_FUG",0
"177","1990$/tC","cost_40constraint",2065,"globalCO2_LUC",75.7094
"178","1990$/tC","cost_40constraint",2070,"globalCO2",163.147
"179","1990$/tC","cost_40constraint",2070,"globalCO2_FUG",0
"180","1990$/tC","cost_40constraint",2070,"globalCO2_LUC",101.967
"181","1990$/tC","cost_40constraint",2075,"globalCO2",183.614
"182","1990$/tC","cost_40constraint",2075,"globalCO2_FUG",0
"183","1990$/tC","cost_40constraint",2075,"globalCO2_LUC",126.235
"184","1990$/tC","cost_40constraint",2080,"globalCO2",180.58
"185","1990$/tC","cost_40constraint",2080,"globalCO2_FUG",0
"186","1990$/tC","cost_40constraint",2080,"globalCO2_LUC",135.435
"187","1990$/tC","cost_40constraint",2085,"globalCO2",189.225
"188","1990$/tC","cost_40constraint",2085,"globalCO2_FUG",0
"189","1990$/tC","cost_40constraint",2085,"globalCO2_LUC",153.746
"190","1990$/tC","cost_40constraint",2090,"globalCO2",200.969
"191","1990$/tC","cost_40constraint",2090,"globalCO2_FUG",0
"192","1990$/tC","cost_40constraint",2090,"globalCO2_LUC",175.848
"193","1990$/tC","cost_40constraint",2095,"globalCO2",214.38
"194","1990$/tC","cost_40constraint",2095,"globalCO2_FUG",0
"195","1990$/tC","cost_40constraint",2095,"globalCO2_LUC",200.981
"196","1990$/tC","cost_40constraint",2100,"globalCO2",227.17
"197","1990$/tC","cost_40constraint",2100,"globalCO2_FUG",0
"198","1990$/tC","cost_40constraint",2100,"globalCO2_LUC",227.17
"199","1990$/tC","cost_50constraint",1975,"globalCO2",0
"200","1990$/tC","cost_50constraint",1975,"globalCO2_FUG",0
"201","1990$/tC","cost_50constraint",1975,"globalCO2_LUC",0
"202","1990$/tC","cost_50constraint",1990,"globalCO2",0
"203","1990$/tC","cost_50constraint",1990,"globalCO2_FUG",0
"204","1990$/tC","cost_50constraint",1990,"globalCO2_LUC",0
"205","1990$/tC","cost_50constraint",2005,"globalCO2",0
"206","1990$/tC","cost_50constraint",2005,"globalCO2_FUG",0
"207","1990$/tC","cost_50constraint",2005,"globalCO2_LUC",0
"208","1990$/tC","cost_50constraint",2010,"globalCO2",0
"209","1990$/tC","cost_50constraint",2010,"globalCO2_FUG",0
"210","1990$/tC","cost_50constraint",2010,"globalCO2_LUC",0
"211","1990$/tC","cost_50constraint",2015,"globalCO2",0
"212","1990$/tC","cost_50constraint",2015,"globalCO2_FUG",0
"213","1990$/tC","cost_50constraint",2015,"globalCO2_LUC",0
"214","1990$/tC","cost_50constraint",2020,"globalCO2",0
"215","1990$/tC","cost_50constraint",2020,"globalCO2_FUG",0
"216","1990$/tC","cost_50constraint",2020,"globalCO2_LUC",0
"217","1990$/tC","cost_50constraint",2025,"globalCO2",32.4334
"218","1990$/tC","cost_50constraint",2025,"globalCO2_FUG",0
"219","1990$/tC","cost_50constraint",2025,"globalCO2_LUC",2.02709
"220","1990$/tC","cost_50constraint",2030,"globalCO2",49.2488
"221","1990$/tC","cost_50constraint",2030,"globalCO2_FUG",0
"222","1990$/tC","cost_50constraint",2030,"globalCO2_LUC",6.1561
"223","1990$/tC","cost_50constraint",2035,"globalCO2",66.5455
"224","1990$/tC","cost_50constraint",2035,"globalCO2_FUG",0
"225","1990$/tC","cost_50constraint",2035,"globalCO2_LUC",12.4773
"226","1990$/tC","cost_50constraint",2040,"globalCO2",75.0423
"227","1990$/tC","cost_50constraint",2040,"globalCO2_FUG",0
"228","1990$/tC","cost_50constraint",2040,"globalCO2_LUC",18.7606
"229","1990$/tC","cost_50constraint",2045,"globalCO2",98.1419
"230","1990$/tC","cost_50constraint",2045,"globalCO2_FUG",0
"231","1990$/tC","cost_50constraint",2045,"globalCO2_LUC",30.6693
"232","1990$/tC","cost_50constraint",2050,"globalCO2",108.735
"233","1990$/tC","cost_50constraint",2050,"globalCO2_FUG",0
"234","1990$/tC","cost_50constraint",2050,"globalCO2_LUC",40.7756
"235","1990$/tC","cost_50constraint",2055,"globalCO2",140.559
"236","1990$/tC","cost_50constraint",2055,"globalCO2_FUG",0
"237","1990$/tC","cost_50constraint",2055,"globalCO2_LUC",61.4946
"238","1990$/tC","cost_50constraint",2060,"globalCO2",157.744
"239","1990$/tC","cost_50constraint",2060,"globalCO2_FUG",0
"240","1990$/tC","cost_50constraint",2060,"globalCO2_LUC",78.8721
"241","1990$/tC","cost_50constraint",2065,"globalCO2",189.339
"242","1990$/tC","cost_50constraint",2065,"globalCO2_FUG",0
"243","1990$/tC","cost_50constraint",2065,"globalCO2_LUC",106.503
"244","1990$/tC","cost_50constraint",2070,"globalCO2",220.269
"245","1990$/tC","cost_50constraint",2070,"globalCO2_FUG",0
"246","1990$/tC","cost_50constraint",2070,"globalCO2_LUC",137.668
"247","1990$/tC","cost_50constraint",2075,"globalCO2",247.271
"248","1990$/tC","cost_50constraint",2075,"globalCO2_FUG",0
"249","1990$/tC","cost_50constraint",2075,"globalCO2_LUC",169.999
"250","1990$/tC","cost_50constraint",2080,"globalCO2",254.318
"251","1990$/tC","cost_50constraint",2080,"globalCO2_FUG",0
"252","1990$/tC","cost_50constraint",2080,"globalCO2_LUC",190.739
"253","1990$/tC","cost_50constraint",2085,"globalCO2",275.813
"254","1990$/tC","cost_50constraint",2085,"globalCO2_FUG",0
"255","1990$/tC","cost_50constraint",2085,"globalCO2_LUC",224.098
"256","1990$/tC","cost_50constraint",2090,"globalCO2",296.154
"257","1990$/tC","cost_50constraint",2090,"globalCO2_FUG",0
"258","1990$/tC","cost_50constraint",2090,"globalCO2_LUC",259.135
"259","1990$/tC","cost_50constraint",2095,"globalCO2",320.619
"260","1990$/tC","cost_50constraint",2095,"globalCO2_FUG",0
"261","1990$/tC","cost_50constraint",2095,"globalCO2_LUC",300.581
"262","1990$/tC","cost_50constraint",2100,"globalCO2",345.48
"263","1990$/tC","cost_50constraint",2100,"globalCO2_FUG",0
"264","1990$/tC","cost_50constraint",2100,"globalCO2_LUC",345.48
"265","1990$/tC","cost_60constraint",1975,"globalCO2",0
"266","1990$/tC","cost_60constraint",1975,"globalCO2_FUG",0
"267","1990$/tC","cost_60constraint",1975,"globalCO2_LUC",0
"268","1990$/tC","cost_60constraint",1990,"globalCO2",0
"269","1990$/tC","cost_60constraint",1990,"globalCO2_FUG",0
"270","1990$/tC","cost_60constraint",1990,"globalCO2_LUC",0
"271","1990$/tC","cost_60constraint",2005,"globalCO2",0
"272","1990$/tC","cost_60constraint",2005,"globalCO2_FUG",0
"273","1990$/tC","cost_60constraint",2005,"globalCO2_LUC",0
"274","1990$/tC","cost_60constraint",2010,"globalCO2",0
"275","1990$/tC","cost_60constraint",2010,"globalCO2_FUG",0
"276","1990$/tC","cost_60constraint",2010,"globalCO2_LUC",0
"277","1990$/tC","cost_60constraint",2015,"globalCO2",0
"278","1990$/tC","cost_60constraint",2015,"globalCO2_FUG",0
"279","1990$/tC","cost_60constraint",2015,"globalCO2_LUC",0
"280","1990$/tC","cost_60constraint",2020,"globalCO2",0
"281","1990$/tC","cost_60constraint",2020,"globalCO2_FUG",0
"282","1990$/tC","cost_60constraint",2020,"globalCO2_LUC",0
"283","1990$/tC","cost_60constraint",2025,"globalCO2",46.1295
"284","1990$/tC","cost_60constraint",2025,"globalCO2_FUG",0
"285","1990$/tC","cost_60constraint",2025,"globalCO2_LUC",2.88309
"286","1990$/tC","cost_60constraint",2030,"globalCO2",63.8897
"287","1990$/tC","cost_60constraint",2030,"globalCO2_FUG",0
"288","1990$/tC","cost_60constraint",2030,"globalCO2_LUC",7.98621
"289","1990$/tC","cost_60constraint",2035,"globalCO2",86.9678
"290","1990$/tC","cost_60constraint",2035,"globalCO2_FUG",0
"291","1990$/tC","cost_60constraint",2035,"globalCO2_LUC",16.3065
"292","1990$/tC","cost_60constraint",2040,"globalCO2",99.1024
"293","1990$/tC","cost_60constraint",2040,"globalCO2_FUG",0
"294","1990$/tC","cost_60constraint",2040,"globalCO2_LUC",24.7756
"295","1990$/tC","cost_60constraint",2045,"globalCO2",129.127
"296","1990$/tC","cost_60constraint",2045,"globalCO2_FUG",0
"297","1990$/tC","cost_60constraint",2045,"globalCO2_LUC",40.3522
"298","1990$/tC","cost_60constraint",2050,"globalCO2",148.464
"299","1990$/tC","cost_60constraint",2050,"globalCO2_FUG",0
"300","1990$/tC","cost_60constraint",2050,"globalCO2_LUC",55.674
"301","1990$/tC","cost_60constraint",2055,"globalCO2",178.186
"302","1990$/tC","cost_60constraint",2055,"globalCO2_FUG",0
"303","1990$/tC","cost_60constraint",2055,"globalCO2_LUC",77.9562
"304","1990$/tC","cost_60constraint",2060,"globalCO2",209.977
"305","1990$/tC","cost_60constraint",2060,"globalCO2_FUG",0
"306","1990$/tC","cost_60constraint",2060,"globalCO2_LUC",104.989
"307","1990$/tC","cost_60constraint",2065,"globalCO2",242.667
"308","1990$/tC","cost_60constraint",2065,"globalCO2_FUG",0
"309","1990$/tC","cost_60constraint",2065,"globalCO2_LUC",136.5
"310","1990$/tC","cost_60constraint",2070,"globalCO2",282.046
"311","1990$/tC","cost_60constraint",2070,"globalCO2_FUG",0
"312","1990$/tC","cost_60constraint",2070,"globalCO2_LUC",176.279
"313","1990$/tC","cost_60constraint",2075,"globalCO2",316.927
"314","1990$/tC","cost_60constraint",2075,"globalCO2_FUG",0
"315","1990$/tC","cost_60constraint",2075,"globalCO2_LUC",217.887
"316","1990$/tC","cost_60constraint",2080,"globalCO2",341.085
"317","1990$/tC","cost_60constraint",2080,"globalCO2_FUG",0
"318","1990$/tC","cost_60constraint",2080,"globalCO2_LUC",255.813
"319","1990$/tC","cost_60constraint",2085,"globalCO2",380.055
"320","1990$/tC","cost_60constraint",2085,"globalCO2_FUG",0
"321","1990$/tC","cost_60constraint",2085,"globalCO2_LUC",308.795
"322","1990$/tC","cost_60constraint",2090,"globalCO2",419.121
"323","1990$/tC","cost_60constraint",2090,"globalCO2_FUG",0
"324","1990$/tC","cost_60constraint",2090,"globalCO2_LUC",366.731
"325","1990$/tC","cost_60constraint",2095,"globalCO2",467.996
"326","1990$/tC","cost_60constraint",2095,"globalCO2_FUG",0
"327","1990$/tC","cost_60constraint",2095,"globalCO2_LUC",438.746
"328","1990$/tC","cost_60constraint",2100,"globalCO2",518.229
"329","1990$/tC","cost_60constraint",2100,"globalCO2_FUG",0
"330","1990$/tC","cost_60constraint",2100,"globalCO2_LUC",518.229
"331","1990$/tC","cost_70constraint",1975,"globalCO2",0
"332","1990$/tC","cost_70constraint",1975,"globalCO2_FUG",0
"333","1990$/tC","cost_70constraint",1975,"globalCO2_LUC",0
"334","1990$/tC","cost_70constraint",1990,"globalCO2",0
"335","1990$/tC","cost_70constraint",1990,"globalCO2_FUG",0
"336","1990$/tC","cost_70constraint",1990,"globalCO2_LUC",0
"337","1990$/tC","cost_70constraint",2005,"globalCO2",0
"338","1990$/tC","cost_70constraint",2005,"globalCO2_FUG",0
"339","1990$/tC","cost_70constraint",2005,"globalCO2_LUC",0
"340","1990$/tC","cost_70constraint",2010,"globalCO2",0
"341","1990$/tC","cost_70constraint",2010,"globalCO2_FUG",0
"342","1990$/tC","cost_70constraint",2010,"globalCO2_LUC",0
"343","1990$/tC","cost_70constraint",2015,"globalCO2",0
"344","1990$/tC","cost_70constraint",2015,"globalCO2_FUG",0
"345","1990$/tC","cost_70constraint",2015,"globalCO2_LUC",0
"346","1990$/tC","cost_70constraint",2020,"globalCO2",0
"347","1990$/tC","cost_70constraint",2020,"globalCO2_FUG",0
"348","1990$/tC","cost_70constraint",2020,"globalCO2_LUC",0
"349","1990$/tC","cost_70constraint",2025,"globalCO2",61.2992
"350","1990$/tC","cost_70constraint",2025,"globalCO2_FUG",0
"351","1990$/tC","cost_70constraint",2025,"globalCO2_LUC",3.8312
"352","1990$/tC","cost_70constraint",2030,"globalCO2",78.9804
"353","1990$/tC","cost_70constraint",2030,"globalCO2_FUG",0
"354","1990$/tC","cost_70constraint",2030,"globalCO2_LUC",9.87256
"355","1990$/tC","cost_70constraint",2035,"globalCO2",109.337
"356","1990$/tC","cost_70constraint",2035,"globalCO2_FUG",0
"357","1990$/tC","cost_70constraint",2035,"globalCO2_LUC",20.5006
"358","1990$/tC","cost_70constraint",2040,"globalCO2",125.346
"359","1990$/tC","cost_70constraint",2040,"globalCO2_FUG",0
"360","1990$/tC","cost_70constraint",2040,"globalCO2_LUC",31.3365
"361","1990$/tC","cost_70constraint",2045,"globalCO2",162.264
"362","1990$/tC","cost_70constraint",2045,"globalCO2_FUG",0
"363","1990$/tC","cost_70constraint",2045,"globalCO2_LUC",50.7076
"364","1990$/tC","cost_70constraint",2050,"globalCO2",185.736
"365","1990$/tC","cost_70constraint",2050,"globalCO2_FUG",0
"366","1990$/tC","cost_70constraint",2050,"globalCO2_LUC",69.6509
"367","1990$/tC","cost_70constraint",2055,"globalCO2",221.582
"368","1990$/tC","cost_70constraint",2055,"globalCO2_FUG",0
"369","1990$/tC","cost_70constraint",2055,"globalCO2_LUC",96.9422
"370","1990$/tC","cost_70constraint",2060,"globalCO2",262.507
"371","1990$/tC","cost_70constraint",2060,"globalCO2_FUG",0
"372","1990$/tC","cost_70constraint",2060,"globalCO2_LUC",131.253
"373","1990$/tC","cost_70constraint",2065,"globalCO2",302.797
"374","1990$/tC","cost_70constraint",2065,"globalCO2_FUG",0
"375","1990$/tC","cost_70constraint",2065,"globalCO2_LUC",170.323
"376","1990$/tC","cost_70constraint",2070,"globalCO2",356.326
"377","1990$/tC","cost_70constraint",2070,"globalCO2_FUG",0
"378","1990$/tC","cost_70constraint",2070,"globalCO2_LUC",222.704
"379","1990$/tC","cost_70constraint",2075,"globalCO2",410.508
"380","1990$/tC","cost_70constraint",2075,"globalCO2_FUG",0
"381","1990$/tC","cost_70constraint",2075,"globalCO2_LUC",282.224
"382","1990$/tC","cost_70constraint",2080,"globalCO2",466.961
"383","1990$/tC","cost_70constraint",2080,"globalCO2_FUG",0
"384","1990$/tC","cost_70constraint",2080,"globalCO2_LUC",350.221
"385","1990$/tC","cost_70constraint",2085,"globalCO2",538.187
"386","1990$/tC","cost_70constraint",2085,"globalCO2_FUG",0
"387","1990$/tC","cost_70constraint",2085,"globalCO2_LUC",437.277
"388","1990$/tC","cost_70constraint",2090,"globalCO2",617.277
"389","1990$/tC","cost_70constraint",2090,"globalCO2_FUG",0
"390","1990$/tC","cost_70constraint",2090,"globalCO2_LUC",540.117
"391","1990$/tC","cost_70constraint",2095,"globalCO2",711.855
"392","1990$/tC","cost_70constraint",2095,"globalCO2_FUG",0
"393","1990$/tC","cost_70constraint",2095,"globalCO2_LUC",667.364
"394","1990$/tC","cost_70constraint",2100,"globalCO2",809.449
"395","1990$/tC","cost_70constraint",2100,"globalCO2_FUG",0
"396","1990$/tC","cost_70constraint",2100,"globalCO2_LUC",809.449
"397","1990$/tC","cost_80constraint",1975,"globalCO2",0
"398","1990$/tC","cost_80constraint",1975,"globalCO2_FUG",0
"399","1990$/tC","cost_80constraint",1975,"globalCO2_LUC",0
"400","1990$/tC","cost_80constraint",1990,"globalCO2",0
"401","1990$/tC","cost_80constraint",1990,"globalCO2_FUG",0
"402","1990$/tC","cost_80constraint",1990,"globalCO2_LUC",0
"403","1990$/tC","cost_80constraint",2005,"globalCO2",0
"404","1990$/tC","cost_80constraint",2005,"globalCO2_FUG",0
"405","1990$/tC","cost_80constraint",2005,"globalCO2_LUC",0
"406","1990$/tC","cost_80constraint",2010,"globalCO2",0
"407","1990$/tC","cost_80constraint",2010,"globalCO2_FUG",0
"408","1990$/tC","cost_80constraint",2010,"globalCO2_LUC",0
"409","1990$/tC","cost_80constraint",2015,"globalCO2",0
"410","1990$/tC","cost_80constraint",2015,"globalCO2_FUG",0
"411","1990$/tC","cost_80constraint",2015,"globalCO2_LUC",0
"412","1990$/tC","cost_80constraint",2020,"globalCO2",0
