GCAMRegion,Country,Country Code,MitigationCost_Efficiency2030 (2022millionUS$),MitigationCost_Efficiency2050 (2022millionUS$),MitigationCost_Efficiency2100 (2022millionUS$),MitigationCost_Equity2030 (2022millionUS$),MitigationCost_Equity2050 (2022millionUS$),MitigationCost_Equity2100 (2022millionUS$),GDP2030 (2022millionUS$),GDP2050 (2022millionUS$),GDP2100 (2022millionUS$),deaths_REF2020,deaths_REF2030,deaths_REF2050,deaths_REF2100,deaths_Efficiency2030,deaths_Efficiency2050,deaths_Efficiency2100,deaths_Equity2030,deaths_Equity2050,deaths_Equity2100,deaths_upper_REF2020,deaths_upper_REF2030,deaths_upper_REF2050,deaths_upper_REF2100,deaths_upper_Efficiency2030,deaths_upper_Efficiency2050,deaths_upper_Efficiency2100,deaths_upper_Equity2030,deaths_upper_Equity2050,deaths_upper_Equity2100,deaths_lower_REF2020,deaths_lower_REF2030,deaths_lower_REF2050,deaths_lower_REF2100,deaths_lower_Efficiency2030,deaths_lower_Efficiency2050,deaths_lower_Efficiency2100,deaths_lower_Equity2030,deaths_lower_Equity2050,deaths_lower_Equity2100,Pop2020(million),Pop2030(million),Pop2050(million),Pop2100(million),Country Income Classification,Country Income Classification.2
Africa_Eastern,Uganda,UGA,102,2544,52967,0,4,17485,82524,257106,2286153,7103,11208,23373,34037,10069,14679,14972,10321,16826,16110,9459,14737,30340,45082,13249,19087,20061,13578,21885,21587,4551,7359,15662,21450,6637,10003,9610,6797,11406,10317,45.46132046317522,59.96103067793003,93.25335106758595,155.66087869961112,Low,Low
Africa_Northern,Algeria,DZA,923,9595,61530,72,1835,48841,425383,864811,2483902,17516,21885,35994,23348,21781,35605,22927,21792,35618,22934,21549,27309,45551,29749,27183,45074,29230,27196,45090,29239,12804,15524,24830,16012,15450,24563,15723,15458,24572,15728,40.527618927806,44.518553361033774,49.52488385078972,45.60074471260761,Upper_Middle,Middle
Africa_Northern,Libya,LBY,228,2375,15230,18,454,12089,105289,214055,614807,3358,4229,6464,11944,4179,6323,11643,4184,6320,11640,4133,5227,8193,15175,5167,8018,14800,5173,8014,14796,2475,3096,4498,8356,3061,4401,8149,3064,4398,8147,7.461467459671386,8.304549168904225,9.702654365490313,9.783121929385423,Upper_Middle,Middle
Africa_Northern,Morocco,MAR,535,5561,35666,42,1064,28310,246571,501284,1439784,23662,25336,25888,7572,25184,25561,7427,25241,25588,7430,28794,31298,32364,9636,31115,31968,9456,31184,31999,9461,17700,18368,18354,5222,18259,18125,5122,18300,18143,5125,34.60052389046992,36.36671508001534,37.076364168489356,30.878879750305437,Lower_Middle,Middle
Africa_Northern,Tunisia,TUN,182,1893,12137,14,362,9634,83909,170589,489963,5033,5258,5660,2680,5169,5451,2526,5181,5452,2526,6274,6670,7223,3453,6559,6960,3257,6574,6961,3257,3647,3674,3921,1834,3613,3778,1731,3621,3779,1731,11.474561856864177,12.20556645279158,12.742657987393574,10.644597971169079,Lower_Middle,Middle
Central America and Caribbean,Bahamas,BHS,25,374,3287,3,57,2584,22387,41512,133019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38731225418432413,0.425809766263101,0.4783946389674577,0.46171173538115395,High,High
Africa_Southern,Angola,AGO,257,5816,121757,3,162,75104,204316,525629,4340434,5999,7379,10869,8315,7246,10316,7530,7296,10529,7612,7894,9680,14208,11175,9510,13503,10151,9575,13775,10258,3843,4767,7092,5083,4682,6736,4604,4715,6873,4654,25.239158492791116,31.855157392716745,43.9761559431367,56.89192037724557,Lower_Middle,Middle
Africa_Southern,Botswana,BWA,50,1137,23792,1,32,14676,39924,102710,848136,123,162,174,30,110,71,10,137,98,10,164,219,231,41,149,94,13,185,129,15,82,104,115,18,71,48,6,88,66,6,2.2418432149362184,2.4281480463165055,2.735755316588843,2.762367741104997,Upper_Middle,Middle
Africa_Southern,Lesotho,LSO,6,128,2680,0,4,1653,4498,11571,95546,647,816,1346,1864,652,538,512,716,589,526,870,1092,1767,2582,871,700,707,958,768,726,412,525,906,1119,423,373,316,463,408,324,2.3692256058305805,2.5206732052075798,2.666453253862334,2.4454703127711523,Lower_Middle,Middle
Africa_Southern,Malawi,MWI,32,734,15371,0,20,9482,25794,66358,547957,2776,4131,7733,13647,3982,6799,10633,3979,7071,10999,3662,5379,9869,17984,5184,8669,14002,5180,9018,14486,1841,2813,5481,9045,2715,4842,7106,2714,5028,7343,20.019576446314534,26.22770110286601,40.54103339800386,66.73126983743684,Low,Low
Africa_Southern,Mozambique,MOZ,46,1029,21550,1,29,13293,36162,93030,768208,2274,3787,7407,3902,3512,6070,2983,3607,6379,3052,3005,4974,9647,5209,4611,7893,3977,4736,8299,4069,1524,2569,5106,2558,2388,4206,1969,2450,4415,2013,28.638302987510297,33.80149266137681,42.293138489448275,50.19410134167333,Low,Low
Africa_Southern,Tanzania,TZA,187,4238,88707,2,118,54718,148856,382951,3162255,6124,9367,18920,26599,8486,13660,15786,8755,15500,16767,8067,12161,24344,35627,11008,17536,21136,11360,19917,22455,4102,6447,13205,16947,5861,9637,10228,6040,10893,10844,58.36208112738065,73.02622878073561,102.25393550971786,143.78737234608266,Lower_Middle,Middle
Africa_Southern,Zambia,ZMB,72,1631,34143,1,45,21061,57295,147397,1217149,3519,4630,6805,3640,4465,6098,2964,4509,6354,3028,4643,6015,8730,4903,5802,7823,4003,5859,8152,4088,2303,3130,4719,2267,3023,4247,1856,3051,4418,1894,16.96830903893932,21.367767593080927,30.104185266538305,43.43290162305901,Lower_Middle,Middle
Africa_Southern,Zimbabwe,ZWE,68,1531,32039,1,42,19763,53764,138314,1142144,2226,2609,2457,277,2388,1949,198,2457,2086,205,2949,3447,3100,383,3153,2454,274,3245,2628,282,1471,1734,1790,168,1590,1429,121,1635,1526,125,13.075044926052243,13.326965734465622,13.123511604979136,11.481153057273481,Lower_Middle,Middle
Africa_Western,Benin,BEN,32,648,16374,0,13,12446,39453,123769,1045465,5030,6661,11516,13730,6615,11035,12449,6590,11102,12511,6566,8651,14966,18230,8596,14369,16606,8565,14452,16685,3113,4240,7427,8453,4210,7115,7654,4193,7158,7692,11.51382000299963,14.253562800526481,19.213739008299655,24.385282569538287,Lower_Middle,Middle
Africa_Western,Burkina Faso,BFA,35,700,17685,0,14,13442,42611,133676,1129148,9456,12974,24336,34018,12891,23523,32082,12857,23591,32122,12169,16479,30928,44257,16379,29932,41826,16338,30016,41876,6080,8746,16564,22070,8689,16014,20818,8666,16061,20843,21.566602144219786,27.29089543529061,38.60184938153459,55.32461544117213,Low,Low
Africa_Western,Cameroon,CMR,81,1622,41011,0,31,31173,98816,309995,2618493,10748,14004,19380,8311,13832,18324,7356,13832,18483,7373,14166,18364,25383,11194,18149,24055,9970,18150,24255,9991,6685,8889,12425,4961,8779,11749,4379,8779,11851,4389,23.65448885446638,27.315490225829723,33.155573116931336,35.92472780014531,Lower_Middle,Middle
Africa_Western,Central African Republic,CAF,4,89,2239,0,2,1702,5395,16923,142949,3210,5399,11065,17703,5322,10584,16523,5344,10685,16569,4172,6933,14072,23230,6835,13464,21702,6863,13592,21762,2133,3697,7748,11563,3646,7422,10811,3660,7491,10841,5.2585287993710095,6.097162557064358,7.413894922747123,7.885902808774459,Low,Low
Africa_Western,Chad,TCD,23,461,11649,0,9,8854,28068,88052,743766,10097,12453,19430,14663,12383,19183,14421,12399,19203,14424,12946,15963,24821,19191,15881,24523,18891,15899,24547,18895,6296,7951,12857,9233,7904,12691,9077,7915,12704,9080,14.53216054181212,18.254623334758243,25.238420237456616,34.19728365366556,Low,Low
Africa_Western,Congo,COG,29,588,14863,0,11,11297,35812,112345,948967,1297,1809,3148,2529,1752,2791,2001,1770,2903,2018,1699,2354,4126,3439,2280,3662,2734,2304,3807,2757,859,1217,2078,1525,1180,1849,1210,1191,1921,1220,5.077470424973475,6.080040592740588,7.823332531365192,9.152864811776233,Lower_Middle,Middle
Africa_Western,Equatorial Guinea,GNQ,25,501,12673,0,10,9633,30536,95794,809161,96,137,158,84,134,141,64,134,144,64,128,184,214,117,180,190,89,180,194,89,63,88,99,49,86,88,37,86,90,37,0.9010791244584351,1.0972546383004564,1.4429445208967293,1.773676976069241,Upper_Middle,Middle
Africa_Western,Gabon,GAB,39,783,19801,0,15,15051,47709,149668,1264231,266,353,476,243,341,412,181,344,429,183,348,465,630,333,448,545,249,453,567,251,181,236,314,147,227,273,111,230,284,112,1.7594568300968225,1.981841286586314,2.2875280525660946,2.3043497004414775,Upper_Middle,Middle
Africa_Western,Cote d���,CIV,131,2609,65940,1,50,50121,158881,498426,4210145,12169,17387,22513,8218,17144,20735,7013,17078,20939,7044,15826,22423,28829,10983,22115,26581,9409,22032,26840,9450,8034,11733,15465,5128,11573,14278,4386,11530,14415,4405,23.152148745489143,26.1794583164888,30.619321340117303,32.65481997958612,Lower_Middle,Middle
Africa_Western,Ghana,GHA,138,2761,69784,1,53,53043,168142,527478,4455545,13756,18482,29408,30132,18217,27462,25901,18238,27801,26025,17999,24062,38431,40100,23733,35988,34740,23759,36416,34898,8761,11962,18906,18433,11790,17658,15798,11804,17875,15874,30.16143374685573,35.93140396646532,46.376231423164676,57.59733386402262,Lower_Middle,Middle
Africa_Western,Guinea,GIN,39,781,19733,0,15,14999,47545,149153,1259881,6752,9300,10561,2342,9185,9978,2130,9184,10046,2134,8783,12017,13632,3128,11873,12897,2854,11871,12982,2860,4387,6186,7070,1452,6111,6688,1321,6110,6732,1323,11.778123606621934,13.355545896556945,15.479771718449337,16.57595661425787,Lower_Middle,Middle
Africa_Western,Guinea-Bissau,GNB,3,64,1611,0,1,1224,3881,12175,102844,883,1170,1560,495,1151,1465,445,1155,1477,446,1147,1520,2011,651,1496,1890,586,1501,1906,587,583,775,1054,321,762,991,289,765,1000,290,1.8112080213916188,2.074457519099936,2.4884374205896025,2.648580386701417,Low,Low
Africa_Western,Liberia,LBR,7,149,3760,0,3,2858,9059,28419,240049,1471,3116,10946,29512,3068,10135,25818,3065,10238,25903,1895,3937,13812,38574,3877,12793,33805,3874,12923,33914,995,2205,7783,19467,2173,7224,17082,2171,7295,17137,5.751968711994939,7.585341767209438,11.093544159260183,14.85959365317797,Low,Low
Africa_Western,Mali,MLI,35,698,17647,0,13,13414,42521,133393,1126754,7742,11139,23795,30335,11099,23493,29709,11097,23516,29718,10052,14394,30914,40510,14346,30539,39714,14343,30567,39725,4845,7207,15382,18423,7181,15187,18039,7180,15202,18044,20.34408930676557,25.780815001911378,35.910201167956856,48.14058981669806,Low,Low
Africa_Western,Mauritania,MRT,18,362,9156,0,7,6960,22062,69210,584609,1771,2253,2825,879,2248,2808,870,2249,2809,870,2229,2829,3582,1144,2824,3562,1133,2824,3563,1133,1183,1531,1890,555,1528,1878,549,1528,1879,549,4.26942723439638,5.0263678507334175,6.271098329901496,7.322345548204949,Lower_Middle,Middle
Africa_Western,Niger,NER,29,574,14503,0,11,11024,34944,109624,925978,12914,18205,40142,93034,18138,39747,91494,18143,39765,91511,16587,23371,51681,121766,23293,51201,119854,23298,51223,119874,7965,11589,26052,58594,11544,25792,57614,11547,25803,57625,21.816136409888777,29.81621452914459,50.94335866776267,97.90643724627589,Low,Low
Africa_Western,Nigeria,NGA,881,17584,444469,5,339,337842,1070935,3359623,28378361,87534,100590,150114,118042,99978,142852,103589,99423,143707,103929,112584,129228,193063,155295,128512,184317,137545,127862,185350,137967,53897,63410,96768,72173,62997,91939,62920,62622,92505,63135,201.5290703717919,252.7241735907047,371.69500001795836,582.3800292048128,Lower_Middle,Middle
Africa_Western,Sao Tome and Principe,STP,1,20,510,0,0,388,1229,3855,32559,41,41,37,8,40,34,7,40,35,7,54,55,49,12,54,46,9,54,47,10,26,26,23,5,26,22,4,26,22,4,0.18480031156427748,0.19926397140139204,0.21123231403293524,0.20075134410868764,Lower_Middle,Middle
Africa_Western,Senegal,SEN,51,1027,25953,0,20,19727,62534,196176,1657073,4542,6104,10051,5328,6063,9793,5092,6068,9822,5096,5839,7761,12878,7088,7711,12556,6785,7717,12592,6790,3017,4191,6816,3328,4164,6644,3181,4167,6664,3183,15.651291275135259,18.790814287116394,24.25197378888383,31.150013740819276,Lower_Middle,Middle
Africa_Western,Sierra Leone,SLE,8,152,3848,0,3,2925,9271,29083,245660,2440,3567,6813,7699,3504,6272,6676,3503,6334,6690,3152,4534,8581,10079,4454,7904,8758,4453,7982,8776,1636,2488,4855,5053,2445,4482,4396,2444,4524,4405,7.323422255075713,8.754974105150465,11.27903233754006,13.14535223343305,Low,Low
Argentina,Argentina,ARG,1143,10283,74652,324,6375,69429,924645,1474959,2914397,6267,6155,6067,3021,5860,5523,2614,5941,5477,2565,8353,8248,8182,4188,7852,7444,3622,7960,7382,3553,4125,4005,3900,1830,3818,3559,1589,3869,3530,1560,43.56953519746847,46.15533933884454,49.37701305236465,46.57493769051544,Upper_Middle,Middle
Australia_NZ,Australia,AUS,2109,23103,118607,46432,180172,1127854,2884385,4295337,8826155,3021,3370,4358,6556,3329,4251,6427,3324,4272,6461,3928,4411,5688,8747,4356,5547,8573,4350,5574,8619,2088,2301,2995,4318,2273,2924,4236,2270,2937,4258,25.98729857285925,29.562047873153833,36.03292142567009,42.57732546336947,High,High
Australia_NZ,New Zealand,NZL,308,3377,17335,6786,26333,164840,421564,627780,1289976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85152986196471,5.279569137574341,5.939593866369957,6.509268142937511,High,High
Brazil,Brazil,BRA,3266,35085,239121,964,21478,272053,4587587,6819232,12528118,16952,17729,18714,9167,15882,15578,6910,16385,15498,6632,22249,23559,25272,12808,21091,21016,9644,21762,20909,9254,11550,11779,12026,5466,10577,10049,4143,10904,9999,3979,210.7426464582764,222.81908868466118,231.86816877452029,188.41540649548188,Upper_Middle,Middle
Canada,Canada,CAN,3171,30857,187441,55910,176752,1201966,3494154,4969126,9827978,3391,3178,3308,3153,2863,2690,2477,2880,2452,1997,4416,4189,4334,4242,3773,3521,3327,3795,3207,2679,2348,2150,2268,2051,1940,1851,1618,1951,1689,1309,37.76420045635363,41.383591043045016,47.584804488954894,54.42355384783969,High,High
EU-12,Czech Republic,CZE,763,6070,17706,673,10766,34878,501700,701294,1144849,7276,6146,5444,7845,5437,3588,4303,4924,2624,3256,9242,7896,6928,10123,6993,4563,5535,6336,3331,4177,5102,4232,3845,5413,3754,2566,3031,3408,1892,2313,10.971918332150251,11.29183182482896,11.703701006759823,10.855792884024705,High,High
Southeast Asia,Democratic Peoples Republic of Korea,PRK,4247,49391,290594,266,9842,237506,1828249,3451233,9261880,24982,27287,30061,8518,25328,25782,7241,25014,24349,6773,33076,36375,40418,11732,33920,34980,10060,33525,33132,9439,15348,16546,17938,4850,15310,15293,4098,15113,14419,3827,49.37755505545623,49.66064721980259,46.183250951548665,30.04447259036126,Low,Low
Africa_Western,Democratic Republic of the Congo,COD,123,2446,61832,1,47,46999,148983,467375,3947865,26390,43587,78364,45220,42728,72512,39579,42829,74150,39905,34618,55980,99443,59694,54892,92073,52369,55020,94139,52795,17157,29810,55031,29118,29240,51051,25560,29307,52165,25765,85.77145183598343,107.35036108601895,145.71888671523422,187.01452286609162,Low,Low
Central America and Caribbean,Barbados,BRB,11,166,1461,1,25,1149,9954,18457,59143,32,43,85,196,42,82,184,42,82,184,43,57,114,260,56,109,244,56,109,243,22,28,57,131,28,54,123,28,54,123,0.278637253405632,0.2807473387560561,0.2675119143014169,0.19473382912791412,High,High
Central America and Caribbean,Belize,BLZ,5,81,708,1,12,557,4824,8945,28662,8,9,13,11,8,8,6,8,8,6,10,12,17,15,10,11,9,11,11,9,6,6,9,7,6,6,4,6,6,4,0.3648004385930981,0.4032162259884217,0.4475153084415937,0.4487395230230108,Upper_Middle,Middle
Central America and Caribbean,Costa Rica,CRI,131,1972,17326,14,299,13621,118005,218817,701162,145,192,311,494,184,255,350,185,255,352,183,248,405,674,237,332,478,239,332,479,106,136,215,311,130,177,222,131,177,223,5.326161589081579,5.910526211455881,6.735971872106966,6.455497455765661,Upper_Middle,Middle
Central America and Caribbean,El Salvador,SLV,61,911,8004,7,138,6292,54516,101088,323920,1258,1093,821,172,956,466,102,968,468,103,1629,1408,1060,227,1231,600,134,1247,603,136,857,754,566,114,662,327,69,670,329,70,6.38313338871084,6.395593296318142,6.08051087569562,4.757024120341817,Upper_Middle,Middle
Central America and Caribbean,Grenada,GRD,2,35,306,0,5,241,2087,3870,12400,8,10,16,198,10,16,189,10,16,188,10,13,21,277,13,21,264,13,21,263,6,7,11,117,7,10,111,7,10,111,0.10760894994535694,0.11054802197256262,0.110089116800047,0.08342088507661517,Upper_Middle,Middle
Africa_Northern,Egypt,EGY,1948,20251,129867,152,3873,103084,897821,1825287,5242571,70502,84276,101433,65534,81326,94343,59097,82245,94622,59094,86318,104205,126055,84461,100647,117436,76383,101756,117776,76379,52228,61244,73157,43988,59130,68119,39703,59788,68317,39701,94.74985311328159,106.68540214631012,124.8607905376988,131.23885688054332,Lower_Middle,Middle
Central America and Caribbean,Guatemala,GTM,180,2706,23771,20,410,18688,161905,300220,962005,2392,2502,2573,2543,2248,1662,1621,2262,1669,1626,3169,3285,3352,3417,2950,2158,2171,2968,2167,2178,1565,1672,1754,1629,1509,1151,1055,1518,1156,1059,17.50523623574755,20.40138659149925,24.965488480710246,28.893196543178014,Upper_Middle,Middle
Central America and Caribbean,Haiti,HTI,38,577,5068,4,87,3984,34516,64003,205088,996,1057,1123,747,974,825,469,1000,838,471,1287,1359,1440,992,1253,1058,622,1287,1074,625,700,749,802,499,691,591,315,710,600,316,11.06689817417857,11.900742584918124,12.74728917101613,11.19316179763908,Lower_Middle,Middle
Central America and Caribbean,Honduras,HND,60,895,7863,6,136,6182,53556,99309,318221,1078,1213,1522,1159,1128,1178,855,1147,1182,862,1347,1529,1939,1519,1422,1499,1118,1446,1505,1127,796,883,1089,787,823,846,585,836,850,590,8.923784945232997,10.061399209597292,11.658606994172382,12.12244103845024,Lower_Middle,Middle
Central America and Caribbean,Jamaica,JAM,32,487,4278,4,74,3363,29138,54031,173132,187,176,175,61,159,123,41,165,125,42,247,234,233,82,211,164,55,219,166,57,126,116,115,40,105,82,27,109,83,28,2.8362905176539366,2.8797228442462113,2.785827935178338,2.241537230677486,Upper_Middle,Middle
Southeast Asia,Federated States of Micronesia,FSM,1,13,75,0,3,61,471,889,2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114153629188697,0.11493182190753469,0.10672870132373646,0.08489564987180453,Lower_Middle,Middle
Africa_Western,Gambia,GMB,4,81,2044,0,2,1554,4925,15449,130498,582,807,1345,696,799,1295,653,801,1302,653,746,1022,1706,915,1013,1644,860,1014,1652,860,392,561,935,447,556,902,419,557,906,420,2.1847249097273633,2.6013887183860946,3.2730757061978553,3.838463767582225,Low,Low
Central America and Caribbean,Nicaragua,NIC,30,446,3916,3,68,3078,26671,49455,158471,246,258,238,46,253,218,41,252,217,42,312,329,305,62,322,279,55,321,278,56,179,185,170,30,182,156,27,181,155,27,6.365539705680375,6.754050527697455,7.01366817184334,6.2437381637085005,Lower_Middle,Middle
Central America and Caribbean,Panama,PAN,145,2180,19147,16,330,15052,130410,241819,774868,48,106,141,78,94,107,35,98,107,36,63,139,188,107,122,142,48,128,142,49,34,74,94,49,65,72,22,68,71,23,4.021978975274154,4.476725849469908,5.108167195246702,5.024697304845944,High,High
Middle East,Iran,IRN,1042,12365,92517,336,6007,95587,665235,1156563,2836304,24498,24567,31684,16296,23283,28008,13221,23858,27762,13053,30559,31141,40503,21122,29528,35832,17134,30251,35518,16917,17821,17330,22070,11140,16447,19570,9098,16842,19402,8986,82.33865471293076,87.9499788410345,93.46523530651866,74.81527889607665,Upper_Middle,Middle
Central Asia,Kyrgyzstan,KGZ,123,754,3476,12,264,2268,24748,42014,82350,2879,3199,3855,1538,3057,3391,1272,3043,3424,1286,3575,4073,4926,1984,3894,4340,1643,3877,4381,1662,2114,2230,2667,1050,2133,2352,871,2124,2374,881,5.839475548741664,6.160790627237698,6.409616075513312,5.583870906213157,Lower_Middle,Middle
Central America and Caribbean,Trinidad and Tobago,TTO,57,856,7520,6,130,5912,51217,94972,304323,137,144,151,52,142,146,48,143,146,48,171,182,194,67,180,187,63,181,187,63,102,105,107,36,104,103,33,104,104,33,1.3715200922919755,1.360374427234327,1.2465509375150032,0.7851960070849714,High,High
Central Asia,Armenia,ARM,198,1212,5590,19,425,3646,39795,67560,132423,2742,2479,2021,345,2265,1692,267,2313,1657,254,3372,3161,2538,446,2891,2127,345,2951,2083,329,2049,1723,1458,236,1577,1227,183,1610,1202,175,3.0378836976536103,2.9221689924168883,2.5936195323261466,1.7675640035157036,Upper_Middle,Middle
Central Asia,Azerbaijan,AZE,799,4897,22577,75,1715,14727,160718,272849,534804,7581,8246,9268,5374,7712,8035,4354,7821,7923,4263,9259,10381,11693,6855,9716,10150,5560,9852,10009,5444,5728,5871,6595,3763,5498,5735,3066,5574,5656,3004,10.132468963870824,10.62777300553197,10.99296180276747,9.292462817905706,Upper_Middle,Middle
Central Asia,Georgia,GEO,253,1552,7158,24,544,4669,50953,86502,169551,3075,2615,2292,882,2331,1787,622,2366,1744,589,3952,3430,3006,1190,3059,2343,840,3103,2287,795,2131,1738,1530,554,1555,1202,395,1577,1174,374,4.133945784474709,3.841959396161965,3.2261503271409735,2.1103148011267887,Upper_Middle,Middle
Central Asia,Kazakhstan,KAZ,2281,13981,64458,214,4895,42045,458859,779000,1526898,7371,7124,6422,2990,6619,5476,2321,6677,5381,2256,9291,9246,8347,3924,8592,7119,3045,8668,6995,2959,5326,4846,4367,2002,4511,3740,1565,4550,3677,1523,17.590496440663173,18.694465370066997,20.17779103580021,18.793894205139576,Upper_Middle,Middle
Southeast Asia,Lao Peoples Democratic Republic,LAO,39,457,2692,2,91,2200,16935,31968,85790,3544,4410,5889,4852,4036,4871,4015,4134,4863,3947,4576,5714,7730,6719,5233,6401,5574,5359,6391,5480,2403,2977,3880,2848,2732,3229,2363,2796,3224,2324,7.066441747211272,7.80213034911843,8.63121918907528,8.133588393634739,Lower_Middle,Middle
Central Asia,Mongolia,MNG,174,1065,4912,16,373,3204,34968,59365,116360,979,1123,1243,608,1058,1113,519,1074,1090,503,1231,1412,1588,795,1330,1422,678,1349,1392,657,714,820,879,413,774,790,354,785,774,344,3.1423584030064573,3.410563372303617,3.764811921149165,3.6150639504086235,Upper_Middle,Middle
Central Asia,Tajikistan,TJK,109,666,3069,10,233,2002,21849,37093,72704,2871,3041,3209,830,2815,2553,538,2904,2787,587,3570,3813,4028,1052,3531,3208,684,3642,3501,747,2106,2197,2308,580,2039,1847,380,2101,2012,414,7.5437654246880115,7.943070557117806,8.044770823941834,7.077941214401579,Lower_Middle,Middle
Central Asia,Turkmenistan,TKM,573,3513,16198,54,1230,10566,115312,195764,383712,3005,3243,3249,994,3117,2970,868,3150,2969,866,3685,4038,4086,1272,3882,3737,1112,3923,3736,1109,2263,2371,2331,689,2281,2136,603,2305,2135,602,5.594621721397036,6.0087888396961064,6.3739258035861575,5.546561395992036,Upper_Middle,Middle
